accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test
0.8356807511737089,0.84375,0.6835443037974683,0.7552447552447552,0.8706782542981296,0.6415658446554233,H26,catboost,neurocombat,30,426
0.7638684339715267,0.7059925093632958,0.5378031383737518,0.6105263157894737,0.8175841612068303,0.4540035862549543,H10,catboost,neurocombat,30,2037
0.7924731182795699,0.4836601307189542,0.8087431693989071,0.6053169734151329,0.8468409155748678,0.5053296503353316,H19,catboost,neurocombat,30,930
0.7830303030303031,0.8120481927710843,0.546191247974068,0.6531007751937985,0.8577525138814581,0.5248844980411013,H11,catboost,neurocombat,30,1650
0.8041237113402062,0.7966101694915254,0.5696969696969697,0.6643109540636042,0.8624621212121212,0.5462383348768237,H24,catboost,neurocombat,30,485
0.745958429561201,0.5089820359281437,0.7522123893805309,0.6071428571428571,0.8279314159292035,0.4474699759620478,H25,logreg,raw,30,433
0.7249330271718332,0.5546558704453441,0.6628364076201996,0.6039399366303898,0.7774289243314699,0.3994650785830271,H1,logreg,raw,30,10452
0.7403314917127072,0.6711409395973155,0.6896551724137931,0.6802721088435374,0.827745113618306,0.4618567501827983,H27,logreg,raw,30,362
0.7093206951026856,0.9051948051948052,0.7026209677419355,0.7911464245175936,0.8038505121262067,0.3679833751195152,H14,logreg,raw,30,1266
0.7463414634146341,0.8089887640449438,0.6728971962616822,0.7346938775510204,0.8057409879839786,0.5033309652236583,H29,logreg,raw,30,205
0.7223626026531902,0.4186046511627907,0.5766016713091922,0.4850615114235501,0.734058386585832,0.308749275107793,H4,logreg,raw,30,3166
0.8086842964413973,0.6539408866995073,0.6351674641148325,0.6444174757281553,0.8229509306187869,0.513695388573996,H7,logreg,raw,30,3063
0.7577118897873615,0.284543325526932,0.5510204081632653,0.3752895752895753,0.7362850132001271,0.2639927254547135,H3,logreg,raw,30,3339
0.7108585858585859,0.5,0.7008733624454149,0.5836363636363636,0.7812638159578676,0.3839605412355387,H12,logreg,raw,30,1584
0.6636650157586673,0.8792423046566693,0.6522248243559718,0.7489075630252101,0.7343871975019516,0.3013823930833464,H9,logreg,raw,30,2221
0.6590909090909091,0.5581395348837209,0.6857142857142857,0.6153846153846154,0.7283617849655586,0.320388005920652,H28,logreg,raw,30,264
0.7877959927140255,0.6590257879656161,0.6686046511627907,0.6637806637806638,0.8389558016161865,0.5087974375908023,H17,logreg,raw,30,1098
0.7416798732171157,0.5879120879120879,0.5487179487179488,0.5676392572944297,0.7329216654904729,0.3842349316329365,H21,logreg,raw,30,631
0.7142857142857143,0.65625,0.7,0.6774193548387096,0.7808333333333333,0.4221946888144827,H30,logreg,raw,30,140
0.6908446163765313,0.5686465433300877,0.5309090909090909,0.5491302303714152,0.7057901189719372,0.3147586384750296,H5,logreg,raw,30,3102
